Museums,"Tour and Travel Guides","12,610","General and Operations Managers","6,970","Animal Caretakers","6,900","Curators","6,300","Museum Technicians and Conservators","6,190","Customer Service Representatives","5,810","Security Guards","5,640","Self-Enrichment Teachers","5,300","Retail Salespersons","4,930","Maintenance and Repair Workers, General","4,890",
Independent Artists,"Fine Artists, Including Painters, Sculptors, and Illustrators","3,670","General and Operations Managers","3,160","Miscellaneous Entertainers and Performers, Sports and Related Workers","2,800","Disc Jockeys, Except Radio","1,740","Craft Artists","1,360","Entertainers and Performers, Sports and Related Workers, All Other","1,060","Market Research Analysts and Marketing Specialists","1,030","Business Operations Specialists, All Other","940","Music Directors and Composers","930","Audio and Video Technicians","910",
Agents and,"Agents and Business Managers of Artists, Performers, and Athletes","10,320","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","4,680","General and Operations Managers","1,880","Bookkeeping, Accounting, and Auditing Clerks","1,260","Office Clerks, General","1,120","Market Research Analysts and Marketing Specialists","670","Accountants and Auditors","630","Executive Secretaries and Executive Administrative Assistants","570","Production, Planning, and Expediting Clerks","510","Business Operations Specialists, All Other","460",
Promoters of,"Ushers, Lobby Attendants, and Ticket Takers","14,760","General and Operations Managers","8,440","Security Guards","7,490","Laborers and Freight, Stock, and Material Movers, Hand","6,120","Meeting, Convention, and Event Planners","5,550","Amusement and Recreation Attendants","4,020","Maintenance and Repair Workers, General","3,700","Market Research Analysts and Marketing Specialists","3,400","Producers and Directors","3,390","Cashiers","3,300",
Spectator Sports,"Coaches and Scouts","12,840","Athletes and Sports Competitors","9,160","Amusement and Recreation Attendants","7,610","Animal Caretakers","6,960","Ushers, Lobby Attendants, and Ticket Takers","6,230","General and Operations Managers","5,090","Security Guards","4,130","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","3,050","Office Clerks, General","2,480","Fast Food and Counter Workers","2,480",
Performing Arts,"Musicians and Singers","16,320","Self-Enrichment Teachers","9,110","Producers and Directors","7,170","General and Operations Managers","6,620","Ushers, Lobby Attendants, and Ticket Takers","4,120","Actors","4,080","Music Directors and Composers","3,730","Dancers","3,290","Laborers and Freight, Stock, and Material Movers, Hand","3,250","Office Clerks, General","2,940",
Child Care,"Preschool Teachers, Except Special Education","290,870","Childcare Workers","249,660","Teaching Assistants, Except Postsecondary","120,350","Education and Childcare Administrators, Preschool and Daycare","48,930","Cooks, Institution and Cafeteria","19,970","General and Operations Managers","12,850","Office Clerks, General","12,000","First-Line Supervisors of Personal Service Workers","10,480","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","8,470","Child, Family, and School Social Workers","6,380",
Vocational Rehabilitation,"Home Health and Personal Care Aides","44,200","Rehabilitation Counselors","27,550","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","20,510","Social and Human Service Assistants","10,910","Laborers and Freight, Stock, and Material Movers, Hand","8,430","Miscellaneous Assemblers and Fabricators","8,410","Educational, Guidance, and Career Counselors and Advisors","7,870","Retail Salespersons","7,530","Social and Community Service Managers","6,670","Stockers and Order Fillers","4,700",
Community Food,"Social and Human Service Assistants","30,410","Residential Advisors","10,520","Social and Community Service Managers","10,010","Child, Family, and School Social Workers","9,920","General and Operations Managers","6,680","Light Truck Drivers","5,160","Maintenance and Repair Workers, General","4,520","Community and Social Service Specialists, All Other","4,480","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","4,220","Cooks, Institution and Cafeteria","4,190",
Individual and,"Home Health and Personal Care Aides","1,815,870","Social and Human Service Assistants","119,430","Child, Family, and School Social Workers","81,060","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","59,400","Social and Community Service Managers","47,820","Nursing Assistants","35,260","Office Clerks, General","31,320","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","29,810","General and Operations Managers","27,790","Registered Nurses","26,390",
Other Residential,"Home Health and Personal Care Aides","39,290","Social and Human Service Assistants","11,710","Childcare Workers","11,200","Residential Advisors","9,420","Child, Family, and School Social Workers","8,440","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","6,780","Social and Community Service Managers","3,810","Nursing Assistants","3,420","Registered Nurses","2,750","General and Operations Managers","2,710",
Continuing Care,"Home Health and Personal Care Aides","237,370","Nursing Assistants","140,910","Food Servers, Nonrestaurant","60,040","Maids and Housekeeping Cleaners","43,260","Cooks, Institution and Cafeteria","42,500","Licensed Practical and Licensed Vocational Nurses","41,350","Registered Nurses","31,230","Recreation Workers","22,680","Maintenance and Repair Workers, General","21,580","Receptionists and Information Clerks","17,820",
Residential Intellectual,"Home Health and Personal Care Aides","288,300","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","38,140","Social and Human Service Assistants","28,650","Residential Advisors","21,740","Registered Nurses","16,280","Licensed Practical and Licensed Vocational Nurses","12,150","Social and Community Service Managers","11,050","Psychiatric Technicians","10,930","Mental Health and Substance Abuse Social Workers","10,780","Nursing Assistants","9,550",
Nursing Care,"Nursing Assistants","447,940","Licensed Practical and Licensed Vocational Nurses","171,030","Registered Nurses","124,690","Maids and Housekeeping Cleaners","59,220","Food Servers, Nonrestaurant","51,970","Home Health and Personal Care Aides","47,860","Cooks, Institution and Cafeteria","43,030","Recreation Workers","32,080","Medical and Health Services Managers","26,120","Maintenance and Repair Workers, General","21,540",
Specialty (except,"Registered Nurses","63,460","Nursing Assistants","27,270","Physical Therapists","10,320","Medical and Health Services Managers","8,300","Occupational Therapists","8,140","Respiratory Therapists","7,720","Medical Secretaries and Administrative Assistants","7,260","Licensed Practical and Licensed Vocational Nurses","6,870","Speech-Language Pathologists","4,810","Pharmacists","4,270",
Psychiatric and,"Registered Nurses","39,080","Psychiatric Technicians","28,770","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","16,550","Psychiatric Aides","13,210","Nursing Assistants","9,850","Mental Health and Substance Abuse Social Workers","8,970","Licensed Practical and Licensed Vocational Nurses","8,550","Medical and Health Services Managers","5,360","Social and Human Service Assistants","4,740","Security Guards","3,570",
General Medical,"Registered Nurses","1,724,510","Nursing Assistants","396,060","Medical Secretaries and Administrative Assistants","158,510","Clinical Laboratory Technologists and Technicians","147,590","Medical and Health Services Managers","137,410","Radiologic Technologists and Technicians","125,430","Medical Assistants","107,450","Respiratory Therapists","97,800","Maids and Housekeeping Cleaners","87,080","Pharmacists","82,970",
